Task Number,Task Description,Resource,Number of Following Task,ST (Minutes),Workstation,Allocated,Next Task
S_3,START,,17,0,1,Yes,14
14,Ráp hông lưới vào hông phối ( 2 bên ),1 Kim,16,0.3,1,Yes,16
S_2,START,,16,0,1,Yes,10
10,Ráp 6mm đỉnh nón,1 Kim,15,0.3,1,Yes,13
16,Vắt sổ hông lưới và hông phối ( 2 bên ),Vắt sổ,15,0.06,1,Yes,17
13,Viền 2 kim đỉnh nón ( Viền 2 kim thường),2 Kim,14,0.24,1,Yes,18
17,Diễu 1.5 mm hông phối,1 Kim,14,0.09,1,Yes,18
S_5,START,,14,0,2,Yes,23
S_1,START,,14,0,3,Yes,1
S_7,START,,14,0,1,Yes,11
18,Ráp hông phối và hông vào đỉnh ( 2 bên ),1 Kim,13,0.86,2,Yes,19
23,Lược hông nón vào đuôi nón ( Lược theo dấu ),1 Kim,13,0.5,2,Yes,22
1,May cọng cước vào vành ( Cọng cước cắt đôi ở điểm giữa vành ),Ziczac,13,0.48,3,Yes,4
11,"Gắn khoá vào đuôi nón( Bên ngắn TP = 1 cm , bên dài TP = 10 cm ) Phần dành xỏ khoá cắt 6 cm ráp nối 6-7 mm",1 Kim,13,0.39,1,Yes,22
22,"Ráp mặt vào hông nón ( Ráp theo dấu , chừa 1 lỗ 2.5cm ở giữa )",1 Kim,12,0.69,3,Yes,25
19,Diễu viền 2 kim 5mm đỉnh và hông phối ( 2 bên-viền diễu phần đỉnh ),2 Kim,12,0.59,4,Yes,20
4,Ráp gáy che vào vành,1 Kim,12,0.48,4,Yes,6
20,Ráp hông dưới vào hông trên ( 2 bên ),1 Kim,11,0.78,5,Yes,21
6,"Viền diễu 2 kim 5mm gáy che và vành ( Dây viền 2.2 ép lưới và lót thêm 1 lớp keo
HQ bên trong rộng 8-9 mm",2 Kim,11,0.38,5,Yes,7
25,Diễu gấp đầu 2mm hông nón ( Phần đuôi ),1 Kim,11,0.33,6,Yes,24
7,Bọc viền xung quanh vành,Trụ bước ngang,10,0.99,6,Yes,31
24,Diễu 2mm hai bên đường ráp mặt và hông nón ( Giống sun tripper),1 Kim,10,0.94,7,Yes,26
21,Diễu viền 2 kim 5mm hông dưới ( 2 bên ),2 Kim,10,0.36,7,Yes,26
31,May bọc viền vành,1 Kim,9,1.02,8,Yes,32
26,"Ráp thân dưới vào chóp nón
( Ráp 6mm điểm xỏ trùng với điểm giưã hai kim của hông nón )",1 Kim,9,0.95,9,Yes,5
5,May dây size felt vào nón,1 Kim,8,1.38,10,Yes,27
32,Lược nhãn vào gáy che,1 Kim,8,0.18,8,Yes,27
S_4,START,,8,0,11,Yes,15
27,Tra chóp vào vành,1 Kim,7,0.95,11,Yes,8
15,Ráp lót đai ,1 Kim,7,0.24,11,Yes,12
8,Đính dây quai vào vành,Trụ bước đứng,6,0.49,12,Yes,28
12,Viền 2 kim lót đai,2 Kim,6,0.09,11,Yes,28
28,Tra lót chóp vào vành,Trụ bước đứng,5,1.3,13,Yes,30
30,Ráp lược lót chóp vào chóp ( lược phần trên ),1 Kim,4,1.43,14,Yes,29
S_6,START,,4,0,15,Yes,29
29,Lược nhãn vào giữa đường 2 kim chóp,1 Kim,3,0.18,15,Yes,9
9,Diễu 1.5mm xung quanh chân nón,Trụ bước đứng,2,0.93,15,Yes,33
33,Diễu viền 2 kim 5mm thân xung quanh chóp,2 Kim,1,1.28,16,Yes,38
38,May Ziczac chặn 4 điểm ở các bên xỏ lỗ ( tham khảo mẫu ) (máy lập trình khuy-bọ),Ziczac (Lập trình),0,0.84,17,Yes,END
